Date,Close/Last,Volume,Open,High,Low
2024-06-28,2339.6,131191,2338.6,2350.6,2329.7
2024-06-27,2336.6,135784,2309.4,2342,2306.8
2024-06-26,2313.2,182929,2331.8,2335.8,2304.7
2024-06-25,2330.8,140179,2346.8,2349.7,2327.1
2024-06-24,2344.4,113448,2333.5,2347.5,2329.5
2024-06-21,2331.2,187501,2373.8,2382.6,2329.2
2024-06-20,2369,245146,2344.2,2379.5,2338.5
2024-06-18,2346.9,150209,2333.7,2348.2,2320.2
2024-06-17,2329,118761,2348.5,2348.7,2324.3
2024-06-14,2349.1,155486,2319.6,2352.3,2316.7
2024-06-13,2318,177184,2340.9,2342.4,2310.9
2024-06-12,2354.8,232497,2334,2358.8,2327.2
2024-06-11,2326.6,142203,2329.5,2337.3,2314.5
2024-06-10,2327,137332,2311,2331.3,2304.5
2024-06-07,2325,299274,2395.7,2406.7,2304.2
2024-06-06,2390.9,163317,2375.3,2397.8,2372.2
2024-06-05,2375.5,167661,2347.1,2377.6,2345.3
2024-06-04,2347.4,165859,2371.3,2373.1,2335.1
2024-06-03,2369.3,166789,2348,2375.5,2334.8
2024-05-31,2345.8,175833,2364.5,2381.2,2341.1
2024-05-30,2366.5,179642,2361,2373.7,2343.3
2024-05-29,2341.2,114728,2362.5,2363.7,2334.2
2024-05-28,2356.5,308914,2338,2365.5,2333.8
2024-05-24,2334.5,171919,2330.4,2349,2326.3
2024-05-23,2337.2,263098,2383,2385.7,2328.1
2024-05-22,2392.9,246229,2425.4,2430.5,2378
2024-05-21,2425.9,225980,2431.5,2438.2,2408.5
2024-05-20,2438.5,276267,2422.2,2454.2,2411.1
2024-05-17,2417.4,209395,2381.4,2427.4,2377.8
2024-05-16,2385.5,183138,2391.5,2402.7,2375.2
2024-05-15,2394.9,245081,2362.9,2396.1,2357.1
2024-05-14,2359.9,184159,2342.3,2365.2,2340.5
2024-05-13,2343,221846,2369.1,2370.8,2337.6
2024-05-10,2375,245997,2353.5,2385.3,2352
2024-05-09,2340.3,226529,2316.5,2354.2,2312.9
2024-05-08,2322.3,196159,2322,2329.6,2311.4
2024-05-07,2324.2,186868,2334.8,2338.7,2318.2
2024-05-06,2331.2,188984,2312.8,2341.9,2300.6
2024-05-03,2308.6,226187,2313.5,2330.7,2285.2
2024-05-02,2309.6,181818,2329.9,2336.1,2294.3
2024-05-01,2311,215271,2298.2,2339.5,2291.7
2024-04-30,2302.9,221866,2347,2347.6,2296.2
2024-04-29,2357.7,179984,2347.6,2358.9,2331
2024-04-26,2347.2,163124,2344.2,2364.4,2338
2024-04-25,2342.5,218190,2327.4,2357.6,2316.4
2024-04-24,2338.4,178250,2335.7,2350.9,2324.8
2024-04-23,2342.1,261999,2342.3,2347.9,2304.6
2024-04-22,2346.4,256123,2403.7,2404.3,2338.2
2024-04-19,2413.8,264374,2394,2433.3,2386.8
2024-04-18,2398,195493,2377.9,2408,2377.2
2024-04-17,2388.4,279551,2398,2412,2370.7
2024-04-16,2407.8,290700,2399.1,2414.8,2379.2
2024-04-15,2383,336608,2369.4,2404.3,2340.2
2024-04-12,2374.1,463075,2389.4,2448.8,2350.6
2024-04-11,2372.7,247444,2351.7,2395.6,2343.1
2024-04-10,2348.4,342343,2372.4,2378.1,2337.1
2024-04-09,2362.4,270153,2358.1,2384.5,2355.7
2024-04-08,2351,276104,2343.6,2372.5,2321.7
2024-04-05,2345.4,281439,2309.5,2350,2286.2
2024-04-04,2308.5,227956,2321,2325.3,2298.7
2024-04-03,2315,245709,2301.7,2321.8,2285.7
2024-04-02,2281.8,266558,2272.7,2301.9,2267.1
2024-04-01,2257.1,214706,2259.2,2286.4,2249.1
2024-03-28,2238.4,240035,2215.7,2256.9,2207.5
2024-03-27,2212.7,183343,2200.5,2218.3,2193.7
2024-03-26,2177.2,197985,2173,2200.6,2168.3
2024-03-25,2176.4,201700,2166.6,2182.5,2164.4
2024-03-22,2160,200525,2183.4,2188,2158.4
2024-03-21,2184.7,378441,2190.2,2225.3,2168.2
2024-03-20,2161,226302,2161.4,2192.2,2152.3
2024-03-19,2159.7,170802,2164,2166.3,2150.2
2024-03-18,2164.3,207164,2159.9,2167.2,2149.2
2024-03-15,2161.5,182912,2166.2,2176.9,2158.7
2024-03-14,2167.5,202253,2179.5,2181.3,2157
2024-03-13,2180.8,207753,2163.6,2185.6,2161.3
2024-03-12,2166.1,291892,2189.1,2190.8,2156.2
2024-03-11,2188.6,216026,2187.6,2195.5,2180.9
2024-03-08,2185.5,355568,2166.6,2203,2161.2
2024-03-07,2165.2,237353,2156.7,2172.2,2151.7
2024-03-06,2158.2,305992,2136.4,2160.7,2131.9
2024-03-05,2141.9,272144,2123.3,2150.5,2118.5
2024-03-04,2126.3,310812,2091.6,2128.4,2088.1
2024-03-01,2095.7,315978,2052.8,2097.1,2047
2024-02-29,2054.7,218122,2043.8,2059.4,2036
2024-02-28,2042.7,132119,2039.7,2047.4,2033.4
2024-02-27,2044.1,142302,2041.2,2049.1,2038.1
2024-02-26,2038.9,124720,2044.2,2046.8,2034.1
2024-02-23,2049.4,201845,2034.1,2053.2,2025.4
2024-02-22,2030.7,144525,2036.5,2045.5,2029.3
2024-02-21,2034.3,117615,2036.2,2043.5,2030.9
2024-02-20,2039.8,196210,2027.7,2042.7,2023.9
2024-02-16,2024.1,155539,2016.1,2027.2,2006.6
2024-02-15,2014.9,197716,2004.8,2020.2,2001.8
2024-02-14,2004.3,184484,2006.3,2008.8,1996.4
2024-02-13,2007.2,201369,2033.7,2047.3,2002.8
2024-02-12,2033,111785,2038.2,2041.8,2025.4
2024-02-09,2038.7,109127,2049.7,2051.9,2034.3
2024-02-08,2047.9,133305,2051,2053.8,2034.6
2024-02-07,2051.7,120686,2052.6,2061.3,2046.4
2024-02-06,2051.4,121742,2041.4,2055.3,2038.8
2024-02-05,2042.9,163475,2057.9,2059.1,2030.8
2024-02-02,2053.7,210878,2072,2074.7,2044.2
2024-02-01,2071.1,253121,2057.9,2083.2,2046.4
2024-01-31,2067.4,225828,2055.3,2074.6,2048.8
2024-01-30,2050.9,208357,2051.5,2068,2047.1
2024-01-29,2025.4,147894,2024.4,2037.2,2018.8
2024-01-26,2017.3,117654,2021,2028.1,2015.6
2024-01-25,2017.8,189239,2014.8,2025.6,2004
2024-01-24,2016,227627,2030.7,2037.9,2011.7
2024-01-23,2025.8,153827,2023.2,2039.3,2020.8
2024-01-22,2022.2,141963,2031.8,2034.1,2017.4
2024-01-19,2029.3,166078,2027.4,2041.9,2022.2
2024-01-18,2021.6,167013,2009.1,2025.6,2007.7
2024-01-17,2006.5,245194,2031.7,2036.1,2004.6
2024-01-16,2030.2,277995,2053.4,2062.8,2027.6
2024-01-12,2051.6,250946,2033.2,2067.3,2033.1
2024-01-11,2019.2,270624,2029.4,2056.1,2017.3
2024-01-10,2027.8,183625,2036,2046.2,2025.9
2024-01-09,2033,194610,2034.5,2048.6,2031.9
2024-01-08,2033.5,199325,2052.6,2053.3,2022.7
2024-01-05,2049.8,208861,2051.4,2071.1,2030.8
2024-01-04,2050,125573,2049.3,2058.1,2043.3
2024-01-03,2042.8,214132,2067.9,2074.3,2038.3
2024-01-02,2073.4,149926,2072.7,2088.1,2064.3
